"ID","MonthlyIncome"
871,5957
872,2218
873,14225
874,2154
875,2232
876,6998
877,6027
878,2038
879,2348
880,15028
881,11168
882,2328
883,5918
884,5911
885,6393
886,5873
887,6240
888,6181
889,6169
890,2225
891,6034
892,9919
893,9759
894,5918
895,11206
896,9971
897,10189
898,13981
899,6073
900,2321
901,2321
902,6432
903,6703
904,2495
905,14687
906,5873
907,10576
908,6059
909,2038
910,1999
911,18373
912,2264
913,2328
914,10049
915,6188
916,5911
917,2077
918,5879
919,1999
920,2778
921,2148
922,1999
923,6290
924,6265
925,15363
926,2444
927,6073
928,10249
929,1999
930,2302
931,6266
932,9894
933,9798
934,2141
935,1999
936,2244
937,10485
938,10556
939,6735
940,1999
941,2862
942,9965
943,10719
944,5873
945,1961
946,5918
947,1999
948,2077
949,2302
950,6092
951,2476
952,6027
953,6124
954,2225
955,6162
956,9887
957,11837
958,2412
959,10833
960,18698
961,2193
962,6034
963,6477
964,6278
965,2038
966,18048
967,2154
968,9798
969,15336
970,2218
971,5957
972,6105
973,2186
974,1999
975,5911
976,2116
977,6966
978,2225
979,10069
980,18456
981,2225
982,10376
983,2321
984,2186
985,6059
986,2399
987,2031
988,6053
989,10224
990,2109
991,6445
992,2154
993,6182
994,6039
995,5950
996,6305
997,2109
998,14547
999,9939
1000,1999
1001,6690
1002,6039
1003,6105
1004,6941
1005,2412
1006,6194
1007,2038
1008,6329
1009,18476
1010,6381
1011,10582
1012,6503
1013,6189
1014,6240
1015,6130
1016,2334
1017,2380
1018,9798
1019,9939
1020,1961
1021,6066
1022,6149
1023,6117
1024,10443
1025,14397
1026,18154
1027,6258
1028,5879
1029,5905
1030,10468
1031,5873
1032,2380
1033,9759
1034,1999
1035,6208
1036,1999
1037,5918
1038,10254
1039,9919
1040,6208
1041,2225
1042,2289
1043,9830
1044,6383
1045,2154
1046,1999
1047,6021
1048,9939
1049,2270
1050,6117
1051,10759
1052,2270
1053,6092
1054,2321
1055,2257
1056,2321
1057,6046
1058,14148
1059,6710
1060,2225
1061,6221
1062,6034
1063,6331
1064,2077
1065,6375
1066,2186
1067,3216
1068,18267
1069,5911
1070,2180
1071,2282
1072,6189
1073,2038
1074,6169
1075,6110
1076,14284
1077,18252
1078,6073
1079,6137
1080,6870
1081,2463
1082,2116
1083,1999
1084,6395
1085,9830
1086,10249
1087,5950
1088,2353
1089,2225
1090,5918
1091,5957
1092,6266
1093,9798
1094,6021
1095,5918
1096,6059
1097,3067
1098,2257
1099,2270
1100,6073
1101,17706
1102,6092
1103,6349
1104,11727
1105,2334
1106,2302
1107,2309
1108,6329
1109,5957
1110,5950
1111,6299
1112,10209
1113,10248
1114,6831
1115,10635
1116,2302
1117,6927
1118,6105
1119,10917
1120,2270
1121,10730
1122,14886
1123,6073
1124,14052
1125,2070
1126,2031
1127,2193
1128,6162
1129,13988
1130,2116
1131,9983
1132,14013
1133,6073
1134,2116
1135,2508
1136,2225
1137,3003
1138,6105
1139,10101
1140,13678
1141,6105
1142,6105
1143,10841
1144,5840
1145,6356
1146,6092
1147,5982
1148,2180
1149,2077
1150,6112
1151,2116
1152,6059
1153,6973
1154,1999
1155,6337
1156,14397
1157,2218
1158,6715
1159,2116
1160,6085
1161,2193
1162,10086
1163,2387
1164,10068
1165,2270
1166,2038
1167,10049
1168,5950
1169,2225
1170,2270
